,Unnamed: 0.1,Unnamed: 0,part_id,hh_id,part_age,part_gender,cont_id,cnt_age_est_min,cnt_age_est_max,cnt_gender,phys_contact,duration_multi,hh_size,sday_id,dayofweek,day,month,year,cnt_age_distances,cnt_age_exact,degree
0,0,7169,A1_10748,HHA1_10748,61.0,M,A1_10748001,55.0,64.0,M,2.0,5.0,3.0,2020-03-26,4,26,3,20,9.0,60.0,5
1,1,7170,A1_10748,HHA1_10748,61.0,M,A1_10748002,55.0,64.0,F,2.0,5.0,3.0,2020-03-26,4,26,3,20,9.0,60.0,5
2,2,7171,A1_10748,HHA1_10748,61.0,M,A1_10748003,45.0,54.0,M,2.0,4.0,3.0,2020-03-26,4,26,3,20,9.0,50.0,5
3,3,7172,A1_10748,HHA1_10748,61.0,M,A1_10748004,25.0,34.0,M,2.0,4.0,3.0,2020-03-26,4,26,3,20,9.0,25.0,5
4,4,7173,A1_10748,HHA1_10748,61.0,M,A1_10748005,35.0,44.0,M,2.0,4.0,3.0,2020-03-26,4,26,3,20,9.0,36.0,5
5,5,8233,A1_11093,HHA1_11093,30.0,M,A1_11093001,35.0,44.0,F,1.0,5.0,5.0,2020-03-26,4,26,3,20,9.0,40.0,5
6,6,8234,A1_11093,HHA1_11093,30.0,M,A1_11093002,1.0,4.0,F,1.0,5.0,5.0,2020-03-26,4,26,3,20,3.0,2.0,5
7,7,8235,A1_11093,HHA1_11093,30.0,M,A1_11093003,35.0,44.0,M,2.0,5.0,5.0,2020-03-26,4,26,3,20,9.0,36.0,5
8,8,8236,A1_11093,HHA1_11093,30.0,M,A1_11093004,35.0,44.0,M,2.0,4.0,5.0,2020-03-26,4,26,3,20,9.0,41.0,5
9,9,8237,A1_11093,HHA1_11093,30.0,M,A1_11093005,20.0,24.0,M,2.0,4.0,5.0,2020-03-26,4,26,3,20,4.0,20.0,5
10,10,9009,A1_11357,HHA1_11357,62.0,F,A1_11357001,65.0,69.0,M,1.0,5.0,2.0,2020-03-26,4,26,3,20,4.0,65.0,2
